column_name,mean,sd
floor_area_sqm,95.09078798185942,23.922319549360488
resale_price,557036.4644331066,169443.06500129373
remaining_lease,73.76325113378685,14.957309113011016
nearest_mrt_dist,0.8560076440309072,0.4521642664544601
nearest_mall_dist,0.6886730029243009,0.40908028568555965
nearest_school_dist,0.3350905581217671,0.22148533328764586
nearest_bus_stop_dist,0.11381598036561366,0.05474621257396066
nearest_primary_school_dist,0.42013948479889607,0.2728168249641951
within_1_km_to_nearest_primary_school,0.9606009070294784,0.1945425517557065
total_nearby_mrt,1.0510204081632653,1.2754013558998305
total_nearby_mall,1.6264172335600906,1.3373258584827021
total_nearby_school,5.401643990929705,2.4306638083030947
total_nearby_primary_school,3.0921201814058956,1.6040146752841604
total_nearby_bus_stop,5.870748299319728,2.320363688878299
total_resales_in_town,234.25255102040816,102.00862805456178
total_resales_in_block,4.478458049886621,3.1883594084776488
total_resales_in_street,18.755385487528343,16.904559838461484
month_2023-01,0.5753968253968254,0.49428263040499476
month_2023-02,0.4246031746031746,0.49428263040499476
town_ANG MO KIO,0.041666666666666664,0.19982631347136337
town_BEDOK,0.05272108843537415,0.2234761178953214
town_BISHAN,0.012471655328798186,0.11097798494367181
town_BUKIT BATOK,0.041666666666666664,0.19982631347136337
town_BUKIT MERAH,0.03599773242630386,0.18628444832156035
town_BUKIT PANJANG,0.02919501133786848,0.1683527922276616
town_BUKIT TIMAH,0.0011337868480725624,0.03365265777699735
town_CENTRAL AREA,0.00963718820861678,0.09769499891012066
town_CHOA CHU KANG,0.05073696145124717,0.21946006970276355
town_CLEMENTI,0.027494331065759638,0.16351878431851813
town_GEYLANG,0.025793650793650792,0.15851920505852277
town_HOUGANG,0.05243764172335601,0.22290790801101917
town_JURONG EAST,0.021541950113378686,0.14518228025035076
town_JURONG WEST,0.05413832199546485,0.22629044188162306
town_KALLANG/WHAMPOA,0.031746031746031744,0.17532319074900413
town_MARINE PARADE,0.006519274376417234,0.08047840355040738
town_PASIR RIS,0.025793650793650792,0.15851920505852277
town_PUNGGOL,0.08163265306122448,0.2738042421428314
town_QUEENSTOWN,0.021541950113378686,0.14518228025035076
town_SEMBAWANG,0.035430839002267574,0.1848661533376593
town_SENGKANG,0.06405895691609978,0.24485793218705623
town_SERANGOON,0.013605442176870748,0.11584616575460135
town_TAMPINES,0.07114512471655329,0.2570671039740779
town_TOA PAYOH,0.02295918367346939,0.14977336064373162
town_WOODLANDS,0.08758503401360544,0.2826904593905515
town_YISHUN,0.08134920634920635,0.2733706512695914
flat_type_2 ROOM,0.027210884353741496,0.1626974250762095
flat_type_3 ROOM,0.2585034013605442,0.437812051964737
flat_type_4 ROOM,0.4260204081632653,0.49449673405561545
flat_type_5 ROOM,0.2261904761904762,0.4183638902572757
flat_type_EXECUTIVE,0.06179138321995465,0.24077626166156696
flat_type_MULTI-GENERATION,0.0002834467120181406,0.016833489536622722
block_1,0.0017006802721088435,0.04120422258362488
block_10,0.0011337868480725624,0.03365265777699736
block_100,0.0011337868480725624,0.03365265777699736
block_101,0.003401360544217687,0.05822191417899213
block_101A,0.0002834467120181406,0.016833489536622726
block_101B,0.0005668934240362812,0.023802774121561242
block_102,0.001417233560090703,0.037619476460031394
block_102D,0.0002834467120181406,0.016833489536622722
block_103,0.002551020408163265,0.05044316309511528
block_103A,0.0002834467120181406,0.016833489536622722
block_103C,0.0,1.0
block_104,0.002551020408163265,0.05044316309511528
block_104A,0.0017006802721088435,0.04120422258362488
block_104B,0.0008503401360544217,0.02914819132823573
block_104C,0.0008503401360544217,0.029148191328235727
block_104D,0.0008503401360544217,0.02914819132823573
block_105,0.0017006802721088435,0.04120422258362488
block_105A,0.0005668934240362812,0.023802774121561242
block_105B,0.0002834467120181406,0.016833489536622722
block_106,0.0008503401360544217,0.02914819132823573
block_106C,0.0002834467120181406,0.016833489536622722
block_107,0.001417233560090703,0.037619476460031394
block_107A,0.0002834467120181406,0.016833489536622726
block_107B,0.0002834467120181406,0.016833489536622726
block_107C,0.0005668934240362812,0.02380277412156124
block_108,0.0036848072562358277,0.06059067132587506
block_108A,0.0005668934240362812,0.023802774121561242
block_108B,0.0008503401360544217,0.029148191328235727
block_108C,0.001417233560090703,0.03761947646003139
block_109,0.002551020408163265,0.05044316309511528
block_109A,0.0002834467120181406,0.016833489536622722
block_109C,0.0,1.0
block_10A,0.0005668934240362812,0.02380277412156124
block_10B,0.0011337868480725624,0.03365265777699736
block_10C,0.0008503401360544217,0.02914819132823573
block_11,0.0017006802721088435,0.04120422258362488
block_110,0.002551020408163265,0.05044316309511528
block_110A,0.0002834467120181406,0.016833489536622722
block_110B,0.0002834467120181406,0.016833489536622722
block_110C,0.0002834467120181406,0.016833489536622722
block_111,0.003401360544217687,0.05822191417899213
block_112,0.003401360544217687,0.05822191417899214
